issue_id,issue_date,return_date,student_usn,book_isbn
1,2025-08-01,2025-08-07,S001,978-0-14-044913-6
2,2025-07-23,2025-07-30,S002,978-1-40-946743-7
3,2025-07-24,2025-07-31,S003,978-0-74-735655-5
4,2025-07-25,2025-08-01,S004,978-0-31-769448-0
5,2025-07-26,2025-08-02,S005,978-0-06-112008-4
6,2025-08-06,2025-08-13,S006,978-0-31-769448-0
7,2025-08-07,2025-08-14,S007,978-0-00-000000-0
8,2025-08-07,2025-08-14,S008,978-0-00-000000-1
9,2025-08-07,2025-08-14,S009,978-0-00-000000-2
10,2025-08-07,2025-08-14,S010,978-0-00-000000-3
11,2025-08-07,2025-08-14,S011,978-0-00-000000-4
12,2025-08-07,2025-08-14,S012,978-0-00-000000-5
13,2025-08-08,2025-08-15,S013,978-0-00-000000-6
14,2025-08-09,2025-08-16,S014,978-0-00-000000-7
